u, v
-1.0608367232837936, 1.0608367232837934
-0.8486693786270347, 1.0608367232837934
-0.636502033970276, 1.0608367232837932
-0.4243346893135173, 1.0608367232837934
-0.21216734465675868, 1.0608367232837934
0.0, 1.0608367232837934
0.2121673446567588, 1.0608367232837934
0.4243346893135173, 1.0608367232837934
0.6365020339702758, 1.0608367232837934
0.8486693786270347, 1.0608367232837934
1.0608367232837934, 1.0608367232837936
1.0608367232837936, -1.0608367232837934
1.0608367232837934, -0.8486693786270347
1.0608367232837934, -0.6365020339702758
1.0608367232837934, -0.4243346893135173
1.0608367232837934, -0.2121673446567588
1.0608367232837934, 0.0
1.0608367232837934, 0.21216734465675868
1.0608367232837934, 0.4243346893135173
1.0608367232837932, 0.636502033970276
1.0608367232837934, 0.8486693786270347
-1.0608367232837934, -1.0608367232837936
-0.8486693786270347, -1.0608367232837934
-0.6365020339702758, -1.0608367232837934
-0.4243346893135173, -1.0608367232837934
-0.2121673446567588, -1.0608367232837934
0.0, -1.0608367232837934
0.21216734465675868, -1.0608367232837934
0.4243346893135173, -1.0608367232837934
0.636502033970276, -1.0608367232837932
0.8486693786270347, -1.0608367232837934
-1.1669203956121728, -0.9547530509554143
-1.1669203956121728, -0.7425857062986554
-1.1669203956121725, -0.5304183616418967
-1.1669203956121725, -0.3182510169851379
-1.1669203956121728, -0.10608367232837934
-1.1669203956121728, 0.10608367232837945
-1.1669203956121725, 0.318251016985138
-1.1669203956121725, 0.5304183616418965
-1.1669203956121728, 0.7425857062986554
-1.166920395612173, 0.9547530509554142
